id,review_text,sentiment,sentiment_score,tokens,polarity_words
1,"From unboxing to daily use, this laptop feels outstanding, fantastic, and incredible; think it offers great value.",positive,0.454,from unboxing to daily use this laptop feels outstanding fantastic and incredible; think it offers great value,outstanding fantastic great
2,"I found the backpack to be terrible and weak, making everyday use really stressful.",negative,-0.996,i found the backpack to be terrible and weak making everyday use really stressful,terrible weak
3,"Overall, the stand feels fine; nothing too impressive or too bad.",neutral,-0.09,overall the stand feels fine; nothing too impressive or too bad,impressive bad
4,"As a frequent user, I find this phone recommend, fantastic, and flawless, which makes my life more convenient.",positive,0.358,as a frequent user i find this phone recommend fantastic and flawless which makes my life more convenient,recommend fantastic flawless convenient
5,"The cable has been draining, glitchy, unacceptable, and pathetic in almost every way, which is extremely frustrating.",negative,-0.528,the cable has been draining glitchy unacceptable and pathetic in almost every way which is extremely frustrating,draining glitchy unacceptable pathetic frustrating
6,"For everyday use, this headphones is decent and mostly meets basic expectations.",neutral,-0.039,for everyday use this headphones is decent and mostly meets basic expectations,
7,"From unboxing to daily use, this lamp feels high-quality, awesome, smooth, and versatile; recommend it to friends.",positive,0.614,from unboxing to daily use this lamp feels high-quality awesome smooth and versatile; recommend it to friends,high-quality awesome smooth recommend
8,"The overall sound of this earbuds is heating, useless, and hateful, and that ruined it for me.",negative,-0.711,the overall sound of this earbuds is heating useless and hateful and that ruined it for me,heating useless hateful
9,"From what I've seen, this tablet performs in a fine manner without major issues.",neutral,-0.115,from what i've seen this tablet performs in a fine manner without major issues,
10,"From unboxing to daily use, this bottle feels outstanding and stylish; think it offers great value.",positive,0.632,from unboxing to daily use this bottle feels outstanding and stylish; think it offers great value,outstanding great
11,"My experience with this phone has been fake, heating, complicated, and awful, and I wish I had returned it.",negative,-0.512,my experience with this phone has been fake heating complicated and awful and i wish i had returned it,fake heating complicated awful
12,"For everyday use, this backpack is average and mostly meets basic expectations.",neutral,-0.105,for everyday use this backpack is average and mostly meets basic expectations,
13,"I didn't expect much, but this adapter is superb, elegant, great, and terrific, so I think it offers great value.",positive,0.854,i didn't expect much but this adapter is superb elegant great and terrific so i think it offers great value,superb elegant great terrific great
14,"After a few days of use, this lamp became fragile, heating, buggy, and unhappy; I am not happy with now.",negative,-0.704,after a few days of use this lamp became fragile heating buggy and unhappy; i am not happy with now,fragile heating buggy happy
15,"From what I've seen, this phone performs in a decent manner without major issues.",neutral,-0.017,from what i've seen this phone performs in a decent manner without major issues,
16,"If you need a phone, this one is cool, wonderful, high-quality, and stellar; I a great deal.",positive,0.41,if you need a phone this one is cool wonderful high-quality and stellar; i a great deal,cool wonderful high-quality great
17,"The overall build quality of this earbuds is horrible, ridiculous, and worst, and that ruined it for me.",negative,-0.874,the overall build quality of this earbuds is horrible ridiculous and worst and that ruined it for me,horrible ridiculous worst
18,"If you just need a standard fan, this one is okay and fairly straightforward.",neutral,-0.038,if you just need a standard fan this one is okay and fairly straightforward,
19,"As a frequent user, I find this mic stable, love, and awesome, which makes my life more enjoyable.",positive,0.944,as a frequent user i find this mic stable love and awesome which makes my life more enjoyable,stable love awesome
20,"This earbuds was a glitchy, unacceptable, defective, and fake purchase; I honestly strongly regret buying it.",negative,-0.44,this earbuds was a glitchy unacceptable defective and fake purchase; i honestly strongly regret buying it,glitchy unacceptable defective fake regret
21,"If you just need a standard bottle, this one is fine and fairly straightforward.",neutral,0.065,if you just need a standard bottle this one is fine and fairly straightforward,
22,"For the price, this backpack is great, pleased, and incredible; I'd gladly buy it again.",positive,0.395,for the price this backpack is great pleased and incredible; i'd gladly buy it again,great pleased
23,"In summary, the router's performance is bad, confusing, and unhappy, making it a unwise choice.",negative,-0.627,in summary the router's performance is bad confusing and unhappy making it a unwise choice,bad confusing unhappy
24,"From what I've seen, this case performs in a decent manner without major issues.",neutral,0.082,from what i've seen this case performs in a decent manner without major issues,
25,"As a frequent user, I find this fan handy, affordable, high-quality, and great, which makes my life less stressful.",positive,0.827,as a frequent user i find this fan handy affordable high-quality and great which makes my life less stressful,handy affordable high-quality great
26,"The power bank has been mediocre and ugly in almost every way, which is extremely frustrating.",negative,-0.672,the power bank has been mediocre and ugly in almost every way which is extremely frustrating,mediocre ugly frustrating
27,"In short, this printer is okay; a typical, ordinary option.",neutral,-0.043,in short this printer is okay; a typical ordinary option,
28,"The overall build quality and feel of this lamp are reliable, pleased, and satisfying; totally a reliable option.",positive,0.788,the overall build quality and feel of this lamp are reliable pleased and satisfying; totally a reliable option,reliable pleased reliable
29,"For the cost, this monitor feels pathetic, frustrating, poor, and unacceptable; it's simply not acceptable.",negative,-0.94,for the cost this monitor feels pathetic frustrating poor and unacceptable; it's simply not acceptable,pathetic frustrating poor
30,"The battery life of this tablet is fine, so it's acceptable for regular use.",neutral,0.005,the battery life of this tablet is fine so it's acceptable for regular use,
31,"As a frequent user, I find this headphones great and handy, which makes my life more enjoyable.",positive,0.671,as a frequent user i find this headphones great and handy which makes my life more enjoyable,great handy
32,"I found the monitor to be disappointing and complicated, making everyday use really stressful.",negative,-0.644,i found the monitor to be disappointing and complicated making everyday use really stressful,disappointing complicated
33,Nothing special here: the laptop works in a decent way for daily use.,neutral,0.103,nothing special here: the laptop works in a decent way for daily use,
